Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
NW-Nugz,Drugs/Cannabis/Weed,1 OZ (28g) Top Shelf outdoor or nearly top shelf Indoor :-),"Any One OZ you choose from our listing of ""Top Shelf Outdoor or nearly top shelf Indoor"" OZs.        *** We ship to the USA only. *** Please let us know what you want in the order or ask us to pick ...",1.0115369838613861 BTC,USA,USA,5.00/5,
krautling,Drugs/Cannabis/Weed,10 Gramm Curry-Cheese,Curry-Cheese ist ein mit viel Liebe von mir selbst großgezogenes Weed in erstklassiger Qualität. Frei von Schadstoffen oder Zusätzen und schonend getrocknet. Der einzige Stoff  den ich selber rauche. ...,0.5067091885416667 BTC,Germany,Germany,4.96/5,
mrfields,Drugs/Cannabis/Weed,3.5g (1/8oz) OG Kush - Organic Medical Grade,***** NOW OFFERING EXPRESS OVERNIGHT SHIPPING! *****  FE - In light of the recent DNM seizures of Silk Road 2 and other markets  as well as the most recent issues with Agora  I am now mandating FE  ...,0.1955814027692308 BTC,USA,USA,4.99/5,
BudBoss,Drugs/Cannabis/Weed,3.5g Mix/Shake (AAA+),*** FREE SHIPPING  WORLDWIDE!! ***  This is a mix of the shake leftover from my various strains.  It may not look as nice but it is still the same high quality product!!  AAA+ quality medicinal m ...,0.0978651168627451 BTC,Canada,Worldwide,4.637/5,
BudsNRoses,Drugs/Cannabis/Weed,3.5g Platinum OG Kush (Dispensary Quality),Platinum OG is just as precious as the metal it’s named after. With a THC content regularly topping 20%  this indica-dominant hybrid asserts itself as one of the “heaviest” strains around. Platinum O ...,0.2062960334285715 BTC,USA,,4.965/5,
MrCronk,Drugs/Cannabis/Weed,3.5g HIGHGRADE DUTCH SUPER AMNESIA HAZE w NDD;),sweet with next day delivery,0.27599110162162166 BTC,Undeclared;),Worldwide,4.944/5,
Anna,Drugs/Cannabis/Weed,4ounce of Outdoor Hybrid Haze,Great haze smoke for the buck,1.8270084149999999 BTC,USA,Select shipping options,5.00/5,
elchako0705,Drugs/Cannabis/Weed,O.G KUSH / A+++ / 10 GR. / FREE SHIPPING / ONLY FE,Frischer Neuer Batch OG Kush   Nur super schöne dicke potente Buds in gewohnter Qualität .,0.5089781851515153 BTC,Germany,Germany,4.66/5,
gene001,Drugs/Cannabis/Weed,Critical Mass Bud - 1 Gram,Critical Mass - 1 Gram  New bud available for a short time! Critical Mass is a combination of Afghani and Skunk #1  with a strong ration of flower to bud  THC levels are as high as 19-22% !  Thi ...,0.06037383000000001 BTC,USA,,4.892/5,
cocktails,Drugs/Cannabis/Weed,1oz of Blue Dream Top Shelf A+++ Medical Grade - Indica Hybrid(28g),Blue Dream  Indica Dominate Hybrid  Ships USPS First Class if 28g  USA to USA Only  Please inquire if you are interested in bulk.,0.6770554175384615 BTC,USA,,4.56/5,
SeattlesBest,Drugs/Cannabis/Weed,Blue Dream 5g,****FE may be required if you have less than 5 positive feedbacks from other vendors!****  Hello!  The name says it all. We are Seattle's Best! Please give us a try! We have years of experience  ...,0.2087058074285714 BTC,USA,,4.977/5,
budbrother,Drugs/Cannabis/Weed,28g FE only Early Skunk Plant 2 from budbrother backyard grown hydro commercial grower,Early Skunk plant #2 (there are others yet to be harvested). This plant was grown by the same grower that grew the last batch of commercial 818. This is Early Skunk  grown in a backyard in the sun.  ...,1.5846706266666668 BTC,Australia,,4.993/5,
TheResistance,Drugs/Cannabis/Weed,1/2oz (14.25g) Super Lemon Haze - Top Shelf Hydro,==================================== $150 = 1/2 ounce (14.25 grams) Super Lemon Haze. Priory mail shipping is free. Your cost is $10.53 per gram. This is a Sativa dominant hybrid grown hydroponicall ...,0.5625421817333335 BTC,USA,USA,4.99/5,
Amsint,Drugs/Cannabis/Weed,WHITE WIDOW 50gr. Free shipping,Among the most famous strains worldwide is White Widow  a balanced hybrid from the Netherlands. A cross between a Brazilian sativa landrace and a resin-heavy South Indian indica   White Widow has ble ...,1.5950667095327107 BTC,Netherlands,,4.741/5,Average price may be skewed outliar > .5 BTC found
HeadacheCure,Drugs/Cannabis/Weed,112 Grams Great Bud(International),Some good old Bubba Kush here.  Great nose on it very good looking/tasting and smelling stuff here.  Got lots to unload might do better deals for larger amounts also  FULL ESCROW for any order.  If y ...,2.5083541955882356 BTC,Canada,Worldwide,4.96/5,
Cloud9Products,Drugs/Cannabis/Weed,"1/4 LB Outdoor ""Agent Orange""",Hybrid Strain  Agent Orange   Picture is of actual product  Northern Cali outdoor grown high grade weed   large dense sticky nugs covered in dark orange hairs and trichomes ( trichomes not vi ...,2.3342755259523815 BTC,USA,United States,4.89/5,
elchako0705,Drugs/Cannabis/Weed,JACK HERER / 3 GR. / COFFEESHOP BOMB / FREE SHIPPING / ONLY FE,Frischer Neuer Batch  Schöne Buds Schön Fruchtig und Herb. Direkt vom Coffeeshop Zulieferer. ! A+++ Qualität,0.17734838499999994 BTC,Germany,Germany,4.66/5,
MrCronk,Drugs/Cannabis/Weed,MrCronk's Farmery 1000g HIGHGRADE LEMON SESS SPECIAL w NDD;),Great highgrade lemon smelling strong sess weed The real deal,32.466373678918934 BTC,Undeclared;),Worldwide,4.944/5,Average price may be skewed outliar > .5 BTC found
TheBank,Drugs/Cannabis/Weed,1oz (28g) Cannatonic - high in CBD - AAAA,This is our best quality strain that we offer.    HIGH CBD AND THC CONTENT  (Some people call it Kanatonic)  Cannatonic is a hybrid cross with an MK Ultra mother and G13 Haze father.    Canna ...,0.87953845 BTC,Canada,Worldwide,[0 deals],
babykale420,Drugs/Cannabis/Weed,1 oz sample of Grade A+ Tahoe OG Kush,This is the creme de le creme of weed.    ACTUAL PICTURE------->     My ounces weight 30grams.    This is incredibly sticky and stinky  the smoke is F*ING PHENOMENAL  you will get VERY STO ...,0.8368727779268293 BTC,USA,USA,4.98/5,
subs4daze,Drugs/Cannabis/Weed,Girl Scout Cookies 3.5g - CHEAP!!  SHIPS SAME DAY!!,This is a 3.5g listing for my greenhouse Girl Scout Cookies!  It is not quite up to par with my indoor buds  but that is why it is cheaper!  Still great bud especially for the price.  In non-medical  ...,0.13744199666666665 BTC,USA,,4.979/5,
gene001,Drugs/Cannabis/Weed,Blue Dream - 1 Gram,Blue Dream  top shelf California bud - 1 Gram  With a sweet berry aroma  Blue Dream delivers swift symptom relief without heavy sedative effects. This makes Blue Dream a popular daytime medicine fo ...,0.04729859043478261 BTC,USA,,4.892/5,
optiman,Drugs/Cannabis/Weed,"❤❤❤ 3 ""Cookies"" mini Jars ❤❤❤","The new ""Cookies Jar"" Brand Stackable Jars are a set of three twistable  stackable jars that you can use to organize and separate your flavors!  Feel free to ask any question!  Always yours  Opt ...",0.10805673960198997 BTC,USA,Worldwide,4.952/5,
GnarlyGnome,Drugs/Cannabis/Weed,1oz TRUE BLUEBERRY: (CBD 9% / THC 9%),A nice slightly sweet and smooth fruitiness to keep you going through the day. Great for aches and pains  and many illnesses.,0.9435550930337077 BTC,USA,,4.97/5,
SupplyAndDemand,Drugs/Cannabis/Weed,3.5g OG Kush AAA+ Medicinal,Next day for UK customers  3.5g of OG Kush. OG Kush is commonly described as sativa-like in its euphoric and happy effects that combat stress and anxiety. It has an earthy pine scent with woody und ...,0.3301722250000001 BTC,UK,UK,5.00/5,
Drugs4you,Drugs/Cannabis/Weed,Haze  FREE SHIPPING / 20g / 0.706oz,This is our offer for very nice 'haze' !  with FREE SHIPPING  Of course  our products are all tested and free of additives. They will be shipped vacuum sealed! With this premium weed  this precauti ...,1.2086664510655734 BTC,Germany,Worldwide,4.967/5,Average price may be skewed outliar > .5 BTC found
MrCronk,Drugs/Cannabis/Weed,2.2g SWEET GREEN JAMAICAN WEED w NDD;),sweet with next day delivery  sweet green jamaican weed with some pips,0.08377466350515465 BTC,Undeclared;),Worldwide,4.944/5,
TheRoyalOil,Drugs/Cannabis/Weed,28g Royal Beaster Bud,Welcome to RoyalOil! Agora's PREMIERE cannabis and concentrate vendor!  Here we have our world famous beaster bud! All of our buds are homegrown at our farms on the West Coast. Our buds are grown u ...,0.7282797081132074 BTC,USA,USA & Canada,4.78/5,
MoodyMayhem,Drugs/Cannabis/Weed,DPR Kush 2 lb 907 grams Medical Grade Hand Trimmed,In honor of the original Dread Pirate Roberts  who really got the darknet movement moving  we name our newest product!  These nugs are simply put  GORGEOUS! The nugs have orange hairs and beautiful ...,18.982017166153845 BTC,USA,USA,4.87/5,Average price may be skewed outliar > .5 BTC found
GreenMountainMan,Drugs/Cannabis/Weed,5 - Caviar Gold Cavi Cones,CAVI CONE by Caviar Gold is the World's Strongest Joint!  5 CAVI CONES for only $129.00!!!  Starts with Plantinum OG  sprayed with co2 oil and rolled in kief  these are simply the best tasting st ...,0.49974435687499996 BTC,USA,USA ONLY!,4.93/5,
AfriKanSun,Drugs/Cannabis/Weed,Swazi Kush 30g,This indica-sativa hybrid is grown at a secret location deep in the Swaziland mountains. A mixture of top quality Royal Swazi and Mango Kush it is well cared for in comparison to other bush weeds.   ...,0.525205356825397 BTC,SouthAfrica,,4.83/5,
bcdirect,Drugs/Cannabis/Weed,1/2 OZ Purple Kush AAA Indoor BC BUD***Free Shipping!***,1/2 OZ Purple Kush AAA Indoor BC BUD  This 100% indica from California is a cross between Hindu Kush and Purple Afghani. It has dark green dense buds with hints of purple. This all indica strain ha ...,0.45911083866666674 BTC,Canada,Worldwide,4.860/5,
HerbalHealer,Drugs/Cannabis/Weed,Organic Purple Panty Dropper (11g),Purple Haze x Matanuskan Mist x Oregon Grape  - 75% indica x 25% sativa - Euphoric  mood lifting qualities  invegorating  aphrodisiac - Thick  sweet smell  extrodinary purple color - Curing in g ...,0.5494977053409088 BTC,USA,,4.74/5,
TheRoyalOil,Drugs/Cannabis/Weed,7g Royal Beaster Bud,Welcome to RoyalOil! Agora's PREMIERE cannabis and concentrate vendor!  Here we have our world famous beaster bud! All of our buds are homegrown at our farms on the West Coast. Our buds are grown u ...,0.25783998537037045 BTC,USA,USA & Canada,4.78/5,
MrCronk,Drugs/Cannabis/Weed,1.1g HIGHGRADE UK CHEESE w NDD;),sweet with next day delivery,0.11603560408602145 BTC,UK,Worldwide,4.944/5,
AUsTORe,Drugs/Cannabis/Weed,Drug - Cannabis (1.00g),per gram  For One Whole Gram(1.00g)  U get a gram of the latest hydro cannabis batch we've been given.  Always of a high quality these small dense buds chop right out.  They are real fruity  s ...,0.09786574970149259 BTC,Australia,Australia Only!,4.969/5,
psychotropix,Drugs/Cannabis/Weed,1/2 OZ (14g) BLUE DREAM FREE SHIPPING,I have plenty more feedbacks on evolution at this link: http://k5zq47j6wd3wdvjq.onion/profile/39201  1/2 OZ (14g) BLUE DREAM   Blue Dream  a sativa-dominant hybrid originating in California  has  ...,0.6693057596875 BTC,USA,USA,4.981/5,
Kaesefritz_GER,Drugs/Cannabis/Weed,14g Big Buddha Cheese from private grow *connoisseur quality* Germany,+++ No early finalization needed. +++  You can top up these 14g up to 18g (check my listings for 1g topup). If you need more than 18g  buy some of my bubble hash on top of the 18g or buy 28g of wee ...,0.6677708838709678 BTC,Germany Switzerland  Norway,Europe  Switzerland  Norway,5.00/5,
bcdirect,Drugs/Cannabis/Weed,1 OZ Bubba Kush AAA Indoor BC Bud ***Free Shipping Worldwide!***,1 OZ Bubba Kush AAA Indoor BC Bud  A sweet  earthy strain that is an indica dominant hybrid  Bubba Kush is a cross between Bubble Gum and Kush. It has an intense and relaxing high that starts in yo ...,0.925781449411765 BTC,Canada,,4.860/5,
cocktails,Drugs/Cannabis/Weed,Half Pound HP 224g of Hindu Kush - Outdoor/Greenhouse- $945,THis is a really good outdoor/greenhouse.   No shake/ no seeds. It is a bit stemmy but very sticky and great for the price.   Ships first class  USA to USA Only Check out other listings for bu ...,3.7140816278333335 BTC,USA,,4.56/5,Average price may be skewed outliar > .5 BTC found
BudMasterGeneral,Drugs/Cannabis/Weed,7 grams of OG Kush(1/4 ounce) 65 bucks,*****SHIPPING*****  65 bucks/quarter ounce + Priority Shipping!! FULL ESCROW NO international shipping!   *****DESCRIPTION*****  7 grams of OG Kush (1/4 ounce) 65 bucks   OG Kush makes up ...,0.2656141783333334 BTC,USA,USA,4.79/5,
AfriKanSun,Drugs/Cannabis/Weed,Swazi Kush 10g,This indica-sativa hybrid is grown at a secret location deep in the Swaziland mountains. A mixture of top quality Royal Swazi and Mango Kush it is well cared for in comparison to other bush weeds.   ...,0.1944099855932203 BTC,SouthAfrica,,4.83/5,
Amsint,Drugs/Cannabis/Weed,100Gr. Afghan Kush First Class,Delicious Afghan Kush. Very high indoor quality. The original AK  found in the heart of the Hindu Kush mountain range  the ultimate source of cannabis resin.  Afghan Kush marijuana packs quite a punc ...,2.933480501360001 BTC,Netherlands,Europe,4.741/5,Average price may be skewed outliar > .5 BTC found
dankmedgradekush101,Drugs/Cannabis/Weed,Custom listing for Dylon..,Custom listing for Dylon..     as discussed   dank,2.1868048074468085 BTC,,,4.943/5,
Anna,Drugs/Cannabis/Weed,½ounce of Sour Diesel,Indoor sour diesel grow X GREAT,0.5108375275 BTC,USA,Select shipping options,5.00/5,
rumpelstilzzen,Drugs/Cannabis/Weed,3g Hydro Buds,Straight imported from the Netherlands Product is always of a good or high quality. Strain may vary at times but is consistantly good or excellent.,0.16632603607142857 BTC,Germany,Worldwide,4.92/5,
HerbalRemedy,Drugs/Cannabis/Weed,2oz Blueberry  Hydro,**FULL ESCROW** This is a classically known indica hybrid. The strain was a 2000 Cannabis Cup winner  and has remained on the Canadian scene ever since.   The nose is unmistakable  with overwhelmi ...,1.893081218 BTC,Canada,Worldwide,4.99/5,
ChipChipperson,Drugs/Cannabis/Weed,112g Budget Sour Diesel,Indoor. From the same grow as our usual SourD  but this batch just didn't come out 100% - little smell  but looks good and potency seems to be on point.  High-def pic: http://postimg.org/image/p18 ...,3.0752610328000007 BTC,USA,USA,4.97/5,Average price may be skewed outliar > .5 BTC found
TheBestCannabis,Drugs/Cannabis/Weed,50g of Connoisseur Grade Organic Cannabis {Escrow},These are the flowers that never make it to the top shelf because they are almost always kept by the grower.   The best buds money can buy.  Current strain available is Dutch Treat.   Pictures: ...,2.1954816511538477 BTC,USA,USA,4.960/5,Average price may be skewed outliar > .5 BTC found
budman,Drugs/Cannabis/Weed,56g OG Kush AAAA+ *ESCROW*,Product as pictured.  Grown indoors  this is medical quality cannabis AAAA+,1.2708758285 BTC,Canada,WORLD,~5/5,
cheapthrills,Drugs/Cannabis/Weed,56g Smooth Commercial Marijuana Ghana Kush,In my home town many peoples smoking like this grass.  I find many rasta smoking this type of weed in europe and jamaica.,0.9937755253846152 BTC,UK,International,4.98/5,
subs4daze,Drugs/Cannabis/Weed,Cinex 3.5g (Cindy '99 x Vortex) TOP SHELF - SAME DAY SHIPPING,**ALL BUDS THAT ARE PICTURED ARE THE EXACT SAME BATCH YOU WILL RECEIVE  AND ALL ORDERS ARE SHIPPED WITHIN 24 HOURS***  I'm sick of vendors posting pictures of high-quality buds  and then sending ou ...,0.17802880791666661 BTC,USA,USA,4.979/5,
Drugs4you,Drugs/Cannabis/Weed,TOP-Haze  FREE SHIPPING / 0.5oz / 14.18g,This is our offer for very nice 'TOP-Haze' !  with FREE SHIPPING  Of course  our products are all tested and free of additives. They will be shipped vacuum sealed! With this premium weed  this prec ...,0.8632315237398371 BTC,Germany,Worldwide,4.967/5,
ukcheesey,Drugs/Cannabis/Weed,1oz = 28G - BUBBLE CHEESE  AAAA+ (Alien Grade) Free UK2UK,28g  THIS IS SOME REAL AMAZING AAAA+ ALAIN GRADE BUBBLE CHEESE  SMELL AND TAST IS OUT OF THIS WORLD THIS IS SOME EXTRATERESTRIAL WEED ;)  U WILL NOT FIND BETTER IN THE UK  WE ARE HERE TO PROVID ...,1.3753972616666665 BTC,UK,UK,~5/5,Average price may be skewed outliar > .5 BTC found
B.W!,Drugs/Cannabis/Weed,420 SALE - white widow  224 gram - 8 oz  ( 20% thc ) (ESCROW),white widow 20% thc .5% cbd   224 gram 8 oz     escrow listing   check profile for rule and info,3.768327808 BTC,USA,,5.00/5,
elchako0705,Drugs/Cannabis/Weed,ROLEX KUSH / A +++++ / 25 GR. / FREE SHIPPING / ONLY FE,Das Non Plus Ultra ! Der Ultra Luxus Batch  wer sich was gönnen möchte ist hier richtig aufgehoben ! Einer der brutalsten Batches die ich bis jetzt gesehen habe ! This Shit make you fucking High !,1.1993414 BTC,Germany,Germany,4.66/5,
TheLeanZebra,Drugs/Cannabis/Weed,1/4th oz Northern Lights Top Shelf,Freshly harvested  great quality  medical indoor.   Fast facts about Northern Lights medicinal cannabis:      Classification: Dominant Indica Hybrid     Optimal environment for growing: Indoors  ...,0.31724703058823533 BTC,USA,Worldwide,4.91/5,
HumboldtFarms,Drugs/Cannabis/Weed,2lb Cali Orange Krush - Grade A++  Weed,:::: Cali Orange Krush Grade A++ Weed :::: Coming direct from the Cannabis capital of the world  Humboldt farms signature strain Cali Orange Krush  ➤ Hybrid strain with very high levels of THC  ➤ ...,15.305896587931032 BTC,USA,USA,4.931/5,Average price may be skewed outliar > .5 BTC found
BudBoss,Drugs/Cannabis/Weed,14g Purple Kush AAA+,*** FREE SHIPPING  WORLDWIDE!! ***  AAA+ quality medicinal marijuana.  Grown indoors to ensure the highest quality.  Full description of the strain can be found on Leafly.com or Nuggetry.com.   ...,0.5026039089583331 BTC,Canada,Worldwide,4.637/5,
Oase,Drugs/Cannabis/Weed,5 Gr Amnesia Haze Bio FE,The famous one..   5 Gr. Amnesia Haze from the Grower. AAA Grade Coffee Shop Quality.  All orders will be shipped for free!  This is FE listing. You must Release Escrow or we Cancell your Order. ...,0.4621918872857143 BTC,Germany,EU,4.99/5,
buddys,Drugs/Cannabis/Weed,5 gr Amnesia Haze,5 gr Amnesia Haze  SHIPPING INCLUDED! !! FE ONLY !!  It is a nice bio-grown Amnesia Haze  with the well known sour taste and smell. Effect is heavy and we experience the most effect in our head ...,0.349090328 BTC,Germany,Worldwide,4.988/5,
SteaksnGravy,Drugs/Cannabis/Weed,Priority shipping and stealth material.,Priority shipping and stealth material.  mylar is expensive.   $10 usd,0.04101502111111111 BTC,,,5.00/5,
buddys,Drugs/Cannabis/Weed,2 Gr Enemy of the State,Enemy of the State   SHIPPING INCLUDED! !!FE-Only!!  This is an indica strain  really a real sweet weed as well in smell as in taste.  The effect is more in your body then your head. A real n ...,0.1210175927692308 BTC,Germany,,4.988/5,
InsideTheWhale,Drugs/Cannabis/Weed,Thai Stick (Red String) - 1oz - Amazing Price - ONLY £110,Please note guys:  This is genuine Thai Stick (Red String) which is old skool weed. This isn't a Skunk Marijuana (Psychosis  Cheese etc). It's a Sativa strain that has been dried in the sun  so your  ...,0.6751361505555556 BTC,UK,,4.946/5,
vendorz,Drugs/Cannabis/Weed,2g Fair Trade UK Cheese,The UK Cheese Strain Is A Balanced Hybrid  The name ‘UK Cheese’ is an ode to the strain’s birthplace. It is rumored to be a phenotype of Cheese that showed unusual  yet favorable uniqueness out of  ...,0.12417435372549016 BTC,UK,Worldwide,4.614/5,
Oase,Drugs/Cannabis/Weed,10 Gr White Berry Bio FE,Taste and Smell the Berry Flavor! This is a Amazing Strain which we have new in Stock. 10 Gr. White Berry from the Grower. AAA Grade Coffee Shop Quality.  All orders will be shipped for free!  Th ...,0.9492181928571428 BTC,Germany,EU,4.99/5,
Dankness,Drugs/Cannabis/Weed,Platinum Purple 1oz FE only,Platinum Purple Kush is a great nighttime cannabis strain. If you suffer from insomnia or would like to wind down after a busy workday  this strain may be a good one to try. Unlike some other indicas ...,0.8660402576190476 BTC,USA,,4.90/5,
DutchMagic,Drugs/Cannabis/Weed,Greenhouse Weed - 50g - [BEST DEAL],This quality of greenhouse(Northern Lights Strain) compares to qualities of white widow from other vendors. You will not be disappointed  it is one of our best sellers!!   1. We require all orders  ...,1.1925056174999997 BTC,EU,Worldwide except USA/Israel/NL,4.937/5,Average price may be skewed outliar > .5 BTC found
vendorz,Drugs/Cannabis/Weed,3.5g Tutti Frutti Grade A Skunky,The smells of this strain are all over the place.  Blueberry  Pine  Fruityness.  This starin has it all and best of all also has a gret price tag.  Enjoy  can see this starin taking off.,0.1864147319148936 BTC,UK,Worldwide,4.614/5,
DrEarnhardt,Drugs/Cannabis/Weed,10 gr Purple Kush (outdoor),10gr Purple Kush Growed outdoors  Purple Kush is a strain of Cannabis intended for use as a psychoactive drug. It is primarily indica with hints of sativa  and is most commonly known for its purpl ...,0.33654773833333335 BTC,Netherlands,Worldwide,4.815/5,
Samadha2015,Drugs/Cannabis/Weed,28g UK stinky Cheese - Organic - FE discount,Grown properly  trimmed properly  cured properly and it STINKS. This mostly indica strain has been grown organically by a small group of like minded and experienced connoiseurs on a rotation. Check o ...,1.6998760928571426 BTC,UK,Western Europe,5.00/5,
MoodyMayhem,Drugs/Cannabis/Weed,FE Discount KIEF 1/4 LB,This kief is golden in color and comes from a specific blend of our bud strains  ran through a 90 micron screen. Premium quality for smoking or making hash!,1.9085153749473696 BTC,USA,USA,4.87/5,Average price may be skewed outliar > .5 BTC found
t3h_fonz,Drugs/Cannabis/Weed,Purple Trainwreck A+++ 14g,All packages Double Vac Sealed  Guaranteed delivery. Mylar too.  Listing Price is the Shipping  stealth is Tracking as always.  A sweet smelling bud grown indoors in the South  Best strain I have ...,0.49940784725 BTC,USA,United States,4.95/5,
Drugs4you,Drugs/Cannabis/Weed,Haze  FREE SHIPPING / 1oz / 28.35g (FE required  with DISCOUNT),This is our offer for very nice 'haze' !  with FREE SHIPPING  Of course  our products are all tested and free of additives. They will be shipped vacuum sealed! With this premium weed  this precauti ...,1.5537153102459014 BTC,Germany,Worldwide,4.967/5,Average price may be skewed outliar > .5 BTC found
aussieprime,Drugs/Cannabis/Weed,1/4 Pound Weed,4 oz of nice weed  This order must be finalized before it is shipped  ,3.0214572369724775 BTC,Australia,australia,4.939/5,Average price may be skewed outliar > .5 BTC found
NoGovernment,Drugs/Cannabis/Weed,FRIESLAND OUTDOOR [1/4oz - 7g],Friesland  We are listing this new outdoor variety mainly because his outstanding scent. Since this plant has grown in the savage nature  this is not a very tasty smoke  instead its lofty essence i ...,0.18371396243902444 BTC,Canada,Worldwide,4.99/5,
maxhavelaar,Drugs/Cannabis/Weed,100g indoor marijuana weed for 625 EURO!,----------------------------------------- -----------------------------------------        !!!CURRENTLY UNAVAILABLE!!! ----------------------------------------- ---------------------------------- ...,2.9135094025806456 BTC,Germany,Europe,4.86/5,Average price may be skewed outliar > .5 BTC found
DutchMagic,Drugs/Cannabis/Weed,Greenhouse Weed - 1KG - [BEST DEAL],This quality of greenhouse(Northern Lights Strain) compares to qualities of white widow from other vendors. You will not be disappointed  it is one of our best sellers!!   1. We require all orders  ...,18.96459991866666 BTC,EU,Worldwide except USA/Israel/NL,4.937/5,Average price may be skewed outliar > .5 BTC found
DrWhite,Drugs/Cannabis/Weed,High Grade Commercial 1/2 OZ (16 Grams),1/2 OZ. (16 grams) of fluffy High Grade Commercial with few seeds. It is pretty green as you can see in the picture and is covered with brown and orange hairs. The THC level is great and could easily ...,0.311874590483871 BTC,USA,,4.95/5,
psychotropix,Drugs/Cannabis/Weed,HP 8oz / 224g / half pound CHERRY KUSH FREE SHIPPING,I have plenty more feedbacks on evolution at this link: http://k5zq47j6wd3wdvjq.onion/profile/39201  HP 8oz / 224g / half pound CHERRY KUSH FREE SHIPPING  Cherry Kush is a hybrid strain of cannab ...,6.8565201354716985 BTC,USA,USA,4.981/5,Average price may be skewed outliar > .5 BTC found
DutchMagic,Drugs/Cannabis/Weed,Super Silver Haze - 10g,Probably the most famous sativa plant in the world  a classic hit. Strong  fast-hitter  long lasting effect. Medicinally effective in pain therapy and appetite stimulation.  1. We require all orde ...,0.5217872173809521 BTC,EU NL  Israel,Worldwide except USA  NL  Israel,4.937/5,
DutchMagic,Drugs/Cannabis/Weed,White Widow - 10g,This is a very potent and powerful variety of cannabis  available on the top of all Dutch coffee shop menus.  The buzz is powerful and energetic yet social  be prepared for a strong high.  You will n ...,0.34631318390625004 BTC,EU,Worldwide except USA,4.937/5,
zeltasgarden,Drugs/Cannabis/Weed,1 oz Super Lemon Haze Top Shelf,Super Lemon Haze is currently my best strand. I just got a new batch in as of Feb 11th and it's fantasitc. It might be more expensive than other strands but it is well worth it.   It's no wonder th ...,1.1688422862195125 BTC,USA,Worldwide,4.848/5,
Angelina,Drugs/Cannabis/Weed,Girl Scout Cookie 14g 1/2oz - Limited offer,Amount: 14g  1/2 oz Packaging: Vacuum sealed MBB Flavors: Sweet  Earthy  Pungent  About The Strain (compliments of leafly.com) ---------------- Girl Scout Cookies  or GSC  is an OG Kush and Dur ...,0.4369483033333334 BTC,USA,USA,4.911/5,
Drugs4you,Drugs/Cannabis/Weed,5g Liberty Haze - FREE SHIPPING (FE required  with discount),Hey guys   this is our LIBERTY HAZE:  The Liberty Haze buzz is immediate and long lasting with an alert and euphoric cerebral effect. It has a distinct and refreshing lime taste and fragrance. La ...,0.4418975642857142 BTC,Germany,worldwide,4.967/5,
BudBoss,Drugs/Cannabis/Weed,3.5g Girl Scout Cookies (AAA+),***************** HOLIDAY SALE - 10% OFF EVERYTHING *****************  *** FREE SHIPPING  WORLDWIDE!! ***  AAA+ quality medicinal marijuana. Grown indoors to ensure the highest quality.  Full d ...,0.16060316980769226 BTC,Canada,Worldwide,4.637/5,
EmeraldTriangle,Drugs/Cannabis/Weed,8 oz Blue Dream - FREE SHIPPING,****  READ OUR PROFILE BEFORE ORDERING **** **** FAILURE TO DO SO WILL RESULT IN THE CANCELLATION OF YOUR ORDER ****  High quality Blue Dream grown in the Emerald Triangle of California. Organical ...,7.304275352957744 BTC,USA,USA ONLY,4.88/5,Average price may be skewed outliar > .5 BTC found
Drugs4you,Drugs/Cannabis/Weed,White Widow  FREE SHIPPING / 5g / 0.177oz (FE required  with DISCOUNT),NEW BATCH! with better quality since 20th March ===================================================================================  Here you see our brand new premium 'White Widow' This is a BIO- ...,0.34205477898550735 BTC,Germany,Worldwide,4.967/5,
dankbudz,Drugs/Cannabis/Weed,1/4 pound lb any strain listed,1/4 lb any strain,1.9097143149999998 BTC,USA,,5.00/5,
vendorz,Drugs/Cannabis/Weed,"2g Good Quality Fresh ""Red Eye"" Weed",This is a great strain.  Actually very tasty and get you lean with red eyes,0.1233958405 BTC,,,4.614/5,
cocktails,Drugs/Cannabis/Weed,1oz of Cajun OG A+++ Medical Grade - Indica Hybrid(28g),Cajun OG  Indica Dominate Hybrid  Ships USPS First Class if 28g  USA to USA Only  Please inquire if you are interested in bulk.,0.6155870709589044 BTC,USA,,4.56/5,
cocktails,Drugs/Cannabis/Weed,[New Seller Sale 45$]6g of Blue Dream Top Shelf A+++ Medical Grade - Indica Hybrid,Blue Dream  Indica Dominate Hybrid  Ships USPS First Class if 28g or less  USA to USA Only  Please inquire if you are interested in bulk.,0.1762981634782609 BTC,USA,USA,4.56/5,
BudBoss,Drugs/Cannabis/Weed,7.0g Mix/Shake (AAA+),***************** HOLIDAY SALE - 10% OFF EVERYTHING *****************  *** FREE SHIPPING  WORLDWIDE!! ***  This is a mix of the shake leftover from my various strains.  It may not look as nice bu ...,0.16170611179999997 BTC,Canada,Worldwide,4.637/5,
HumboldtFarms,Drugs/Cannabis/Weed,1/2lb (226g) Cali Orange Krush - Grade A++ Weed,:::: Cali Orange Krush Grade A++ Weed :::: Coming direct from the Cannabis capital of the world  Humboldt farms signature strain Cali Orange Krush  ➤ Hybrid strain with very high levels of THC  ➤ ...,4.786825257142858 BTC,USA,USA,4.931/5,Average price may be skewed outliar > .5 BTC found
